name,base,peptides%,time,Rad1,Rad2,Rad3,Rad4,Rad5,Rad6,,,,,,,,,,,,
H9,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(NC(CC9=CN=CN9)C(N)=O)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,100,5,2760962.8,597229.56,1965962.1,,,,,,,,,,,,,,,
H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(NC(CC9=CN=CN9)C(NC(CC%10=CN=CN%10)C(N)=O)=O)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,5,5,26618814,52444588,30521366,,,,,,,,,,,,,,,
H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(NC(CC9=CN=CN9)C(NC(CC%10=CN=CN%10)C(N)=O)=O)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,10,5,25686744,13761735,25036646,,,,,,,,,,,,,,,
H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(NC(CC9=CN=CN9)C(NC(CC%10=CN=CN%10)C(N)=O)=O)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,20,5,19379610,10372213,10413333,,,,,,,,,,,,,,,
H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(NC(CC9=CN=CN9)C(NC(CC%10=CN=CN%10)C(N)=O)=O)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,50,5,10380045,10115698,16532489,,,,,,,,,,,,,,,
H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(NC(CC9=CN=CN9)C(NC(CC%10=CN=CN%10)C(N)=O)=O)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,100,5,4137528,1329570,2441787.8,,,,,,,,,,,,,,,
F1H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CCCCNC(C(CC5=CN=CN5)NC(C)=O)=O)(C(NC(CCCCNC(C(CC6=CN=CN6)NC(C)=O)=O)(C(N[C@@](CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N[C@@](CC9=CN=CN9)(C(NC(CC%10=CN=CN%10)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,5,5,26291806,31682538,6344340,,,,,,,,,,,,,,,
F1H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CCCCNC(C(CC5=CN=CN5)NC(C)=O)=O)(C(NC(CCCCNC(C(CC6=CN=CN6)NC(C)=O)=O)(C(N[C@@](CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N[C@@](CC9=CN=CN9)(C(NC(CC%10=CN=CN%10)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,10,5,45187756,55530600,79455024,,,,,,,,,,,,,,,
F1H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CCCCNC(C(CC5=CN=CN5)NC(C)=O)=O)(C(NC(CCCCNC(C(CC6=CN=CN6)NC(C)=O)=O)(C(N[C@@](CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N[C@@](CC9=CN=CN9)(C(NC(CC%10=CN=CN%10)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,20,5,15524052,22340302,13724531,,,,,,,,,,,,,,,
F1H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CCCCNC(C(CC5=CN=CN5)NC(C)=O)=O)(C(NC(CCCCNC(C(CC6=CN=CN6)NC(C)=O)=O)(C(N[C@@](CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N[C@@](CC9=CN=CN9)(C(NC(CC%10=CN=CN%10)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,50,5,1680075.2,722549.81,1094594.5,,,,,,,,,,,,,,,
F1H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CCCCNC(C(CC5=CN=CN5)NC(C)=O)=O)(C(NC(CCCCNC(C(CC6=CN=CN6)NC(C)=O)=O)(C(N[C@@](CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N[C@@](CC9=CN=CN9)(C(NC(CC%10=CN=CN%10)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,100,5,730382.38,395542.19,685345.38,,,,,,,,,,,,,,,
F2H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CCCCNC(C(CC4=CN=CN4)NC(C(CC5=CN=CN5)NC(C)=O)=O)=O)(C(NC(CCCCNC(C(CC6=CN=CN6)NC(C(CC7=CN=CN7)NC(C)=O)=O)=O)(C(NC(CC8=CN=CN8)(C(NC(CC9=CN=CN9)(C(NC(CC%10=CN=CN%10)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,5,5,59860024,33321492,67128600,,,,,,,,,,,,,,,
F2H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CCCCNC(C(CC4=CN=CN4)NC(C(CC5=CN=CN5)NC(C)=O)=O)=O)(C(NC(CCCCNC(C(CC6=CN=CN6)NC(C(CC7=CN=CN7)NC(C)=O)=O)=O)(C(NC(CC8=CN=CN8)(C(NC(CC9=CN=CN9)(C(NC(CC%10=CN=CN%10)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,10,5,36458416,35563552,90853296,,,,,,,,,,,,,,,
F2H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CCCCNC(C(CC4=CN=CN4)NC(C(CC5=CN=CN5)NC(C)=O)=O)=O)(C(NC(CCCCNC(C(CC6=CN=CN6)NC(C(CC7=CN=CN7)NC(C)=O)=O)=O)(C(NC(CC8=CN=CN8)(C(NC(CC9=CN=CN9)(C(NC(CC%10=CN=CN%10)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,20,5,18384880,29473768,54526076,,,,,,,,,,,,,,,
F2H10,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CCCCNC(C(CC4=CN=CN4)NC(C(CC5=CN=CN5)NC(C)=O)=O)=O)(C(NC(CCCCNC(C(CC6=CN=CN6)NC(C(CC7=CN=CN7)NC(C)=O)=O)=O)(C(NC(CC8=CN=CN8)(C(NC(CC9=CN=CN9)(C(NC(CC%10=CN=CN%10)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,50,5,2680679.5,6074118,6054537,,,,,,,,,,,,,,,
